Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1349256,"March 17, 2019",Georgia,Rochelle,Dennis St,1,3,View Incident View Source
1348793,"March 17, 2019",Nevada,Las Vegas,600 E Fremont St,0,4,View Incident View Source
1347974,"March 16, 2019",New Jersey,Camden,619 Ferry Ave,1,3,View Incident View Source
1348291,"March 15, 2019",Alabama,Mobile,515 Dauphin Island Pkwy,2,4,View Incident View Source
1347894,"March 14, 2019",Montana,Missoula,5145 Airway Blvd,1,3,View Incident View Source
1344488,"March 11, 2019",New Jersey,Paterson,291 12th Ave,0,4,View Incident View Source
1343330,"March 10, 2019",Louisiana,Shreveport,2700 block of San Jacinto Ave,0,4,View Incident View Source
1343274,"March 10, 2019",Colorado,Denver,15th St and Market St,1,4,View Incident View Source
1338860,"March 3, 2019",California,Oakland,316 14th St,0,4,View Incident View Source
1338765,"March 3, 2019",Illinois,Chicago,2900 block of E 79th St,0,6,View Incident View Source
1338790,"March 2, 2019",Arkansas,Pine Bluff,723 East 25th Ave,1,4,View Incident View Source
1337498,"February 28, 2019",California,Oakland,9755 Edes Ave,1,3,View Incident View Source
1333480,"February 22, 2019",Alabama,Birmingham,1100 block of Carnation Dr,2,2,View Incident View Source
1331974,"February 21, 2019",Maryland,Baltimore,500 block of Bloom St,1,4,View Incident View Source
1332507,"February 21, 2019",Kentucky,Elizabethtown,600 N Miles St,2,2,View Incident View Source
1332429,"February 21, 2019",Texas,Houston,12800 block of Eastbrook Dr,2,2,View Incident View Source
1332181,"February 20, 2019",Tennessee,Covington,529 N College St,0,4,View Incident View Source
1329144,"February 17, 2019",Texas,Henderson,504 S Van Buren St,2,2,View Incident View Source
1328792,"February 17, 2019",Indiana,Evansville,664 E Illinois St,0,5,View Incident View Source
1329075,"February 17, 2019",Louisiana,New Orleans,Tulane Ave and Elk Pl,1,5,View Incident View Source
1328562,"February 16, 2019",Mississippi,Clinton,1214 Foxhill Dr,5,0,View Incident View Source
1327321,"February 15, 2019",Illinois,Aurora,641 Archer Ave,6,6,View Incident View Source
1324279,"February 11, 2019",Texas,Livingston,3628 FM 3126,5,0,View Incident View Source
1323448,"February 9, 2019",Virginia,Petersburg,109 Perry St,0,4,View Incident View Source
1321021,"February 6, 2019",New York,Brooklyn,1778 Fulton St,1,3,View Incident View Source
